rosbagTimestamp,milliseconds,rate,data_0,data_1
1534358081102597069,1000,1000,0,0
1534358082103381536,2000,1000,0,0
1534358083102898601,3000,1000,0,0
1534358084104385491,4000,1000,0,0
1534358085103803621,5000,1000,0,0
1534358086106037251,6000,1000,0,0
1534358087104503550,7000,1000,0,0
1534358088105575018,8000,1000,0,0
1534358089106614054,9000,1000,0,0
1534358090106403613,10000,1000,0,0
1534358091108517443,11000,1000,0,0
1534358092107376006,12000,1000,0,0
1534358093107923315,13000,1000,0,0
1534358094107567843,14000,1000,0,0
1534358095108698332,15000,1000,0,0
1534358096109857739,16000,1000,0,0
1534358097109094555,17000,1000,0,0
1534358098110311728,18000,1000,0,0
1534358099109954723,19000,1000,0,0
1534358100111134312,20000,1000,0,0
1534358101112294393,21000,1000,0,0
1534358102111412291,22000,1000,0,0
1534358103111656611,23000,1000,0,0
1534358104112336464,24000,1000,0,0
1534358105112970279,25000,1000,0,0
1534358106114335808,26000,1000,0,0
1534358107113998520,27000,1000,0,0
1534358108113560441,28000,1000,0,0
1534358109114697814,29000,1000,0,0
1534358110114426470,30000,1000,0,0
1534358111116682728,31000,1000,0,0
1534358112115218009,32000,1000,0,0
1534358113115963778,33000,1000,0,0
1534358114116659031,34000,1000,0,0
1534358115116712713,35000,1000,0,0
1534358116004449791,35886,886,0,0
1534358116052838608,35936,50,0,0
1534358116103010656,35986,50,0,0
1534358116153523351,36036,50,0,0
1534358116203419315,36086,50,0,0
1534358116253431640,36136,50,0,0
1534358116302711138,36186,50,0,0
1534358116352695225,36236,50,0,0
1534358116403068099,36286,50,0,0
1534358116453113421,36336,50,0,0
1534358116503254434,36386,50,0,0
1534358116553575134,36436,50,0,0
1534358116602660121,36486,50,0,0
1534358116652740637,36536,50,0,0
1534358116702953037,36586,50,0,0
1534358116753461236,36636,50,0,0
1534358116803612062,36686,50,0,0
1534358116852816566,36736,50,0,0
1534358116903039085,36786,50,0,0
1534358116953158376,36836,50,0,0
1534358117003425729,36886,50,0,0
1534358117053560061,36936,50,0,0
1534358117103682789,36986,50,0,0
1534358117152774431,37036,50,0,0
1534358117203023712,37086,50,0,0
1534358117253039745,37136,50,0,0
1534358117303427886,37186,50,0,0
