rosbagTimestamp,milliseconds,rate,data_0,data_1
1534430370495396896,1000,1000,0,0
1534430371495838410,2000,1000,0,0
1534430372495868741,3000,1000,0,0
1534430373496784174,4000,1000,0,0
1534430374496274163,5000,1000,0,0
1534430375497408188,6000,1000,0,0
1534430376498659119,7000,1000,0,0
1534430377497974858,8000,1000,0,0
1534430378499035818,9000,1000,0,0
1534430379498783363,10000,1000,0,0
1534430380499724267,11000,1000,0,0
1534430381501097342,12000,1000,0,0
1534430382500437457,13000,1000,0,0
1534430383500345849,14000,1000,0,0
1534430384501161804,15000,1000,0,0
1534430388502491548,19000,4000,0,0
1534430392504004279,23000,4000,0,0
1534430396506480003,27000,4000,0,0
1534430400507705834,31000,4000,0,0
1534430404508989065,35000,4000,0,0
1534430408510789659,39000,4000,0,0
1534430412512785896,43000,4000,0,0
1534430416514173994,47000,4000,0,0
1534430420515830901,51000,4000,0,0
1534430424517118573,55000,4000,0,0
1534430428519473928,59000,4000,0,0
1534430432520762930,63000,4000,0,0
1534430436522459188,67000,4000,0,0
1534430440523613448,71000,4000,0,0
1534430444525974687,75000,4000,0,0
1534430448527504364,79000,4000,0,0
1534430452528804666,83000,4000,0,0
1534430456530118571,87000,4000,0,0
1534430460532476214,91000,4000,0,0
1534430464534108349,95000,4000,0,0
1534430468535320999,99000,4000,0,0
1534430472537137669,103000,4000,0,0
1534430476539474029,107000,4000,0,0
1534430480540340261,111000,4000,0,0
1534430484541839207,115000,4000,0,0
1534430488543654813,119000,4000,0,0
1534430492545921068,123000,4000,0,0
1534430496547419582,127000,4000,0,0
1534430500548770251,131000,4000,0,0
1534430504550115168,135000,4000,0,0
1534430508552308956,139000,4000,0,0
1534430512554113247,143000,4000,0,0
1534430516555360497,147000,4000,0,0
1534430520556708923,151000,4000,0,0
1534430524559013006,155000,4000,0,0
1534430528560501360,159000,4000,0,0
1534430532561905811,163000,4000,0,0
1534430536563575873,167000,4000,0,0
1534430540565473372,171000,4000,0,0
1534430544566919947,175000,4000,0,0
1534430548568515250,179000,4000,0,0
1534430552569727644,183000,4000,0,0
1534430556572022101,187000,4000,0,0
1534430560573287122,191000,4000,0,0
1534430564575267080,195000,4000,0,0
1534430568576120411,199000,4000,0,0
1534430572579157151,203000,4000,0,0
1534430576580283658,207000,4000,0,0
1534430580581452972,211000,4000,0,0
1534430584582642329,215000,4000,0,0
1534430588585415508,219000,4000,0,0
1534430592587007652,223000,4000,0,0
1534430596588074047,227000,4000,0,0
1534430600589908914,231000,4000,0,0
1534430604591890631,235000,4000,0,0
1534430608593247266,239000,4000,0,0
1534430612594876407,243000,4000,0,0
1534430616596237650,247000,4000,0,0
1534430620598484825,251000,4000,0,0
1534430624599742918,255000,4000,0,0
1534430628601343803,259000,4000,0,0
1534430632602773415,263000,4000,0,0
1534430636605268241,267000,4000,0,0
1534430640606226480,271000,4000,0,0
1534430644607800510,275000,4000,0,0
1534430648609092015,279000,4000,0,0
1534430652611599695,283000,4000,0,0
1534430656613095087,287000,4000,0,0
1534430660614389557,291000,4000,0,0
1534430664615826799,295000,4000,0,0
1534430668617958785,299000,4000,0,0
1534430672619687199,303000,4000,0,0
1534430676621126569,307000,4000,0,0
1534430680622253771,311000,4000,0,0
1534430684625205717,315000,4000,0,0
1534430688626111567,319000,4000,0,0
1534430692627500439,323000,4000,0,0
1534430696628798682,327000,4000,0,0
1534430700631329971,331000,4000,0,0
1534430704632988354,335000,4000,0,0
1534430708633896075,339000,4000,0,0
1534430712635644977,343000,4000,0,0
1534430716637947691,347000,4000,0,0
1534430720639502604,351000,4000,0,0
1534430724640587182,355000,4000,0,0
1534430728642244399,359000,4000,0,0
1534430732644515262,363000,4000,0,0
1534430736645740930,367000,4000,0,0
1534430740647116603,371000,4000,0,0
1534430744648731295,375000,4000,0,0
1534430748650981756,379000,4000,0,0
1534430752652570322,383000,4000,0,0
1534430756653836026,387000,4000,0,0
1534430760656618421,391000,4000,0,0
1534430764657440720,395000,4000,0,0
1534430768658884048,399000,4000,0,0
1534430772660410339,403000,4000,0,0
1534430776661748102,407000,4000,0,0
1534430780664035893,411000,4000,0,0
1534430784665795647,415000,4000,0,0
1534430788666909376,419000,4000,0,0
1534430792668269197,423000,4000,0,0
1534430796670501895,427000,4000,0,0
1534430800672245788,431000,4000,0,0
1534430804673739615,435000,4000,0,0
1534430808674784334,439000,4000,0,0
1534430812677125292,443000,4000,0,0
1534430816679034280,447000,4000,0,0
1534430820680221685,451000,4000,0,0
1534430824681261551,455000,4000,0,0
1534430828683801854,459000,4000,0,0
1534430832685279738,463000,4000,0,0
1534430836686576926,467000,4000,0,0
1534430840687909538,471000,4000,0,0
1534430844690427093,475000,4000,0,0
1534430848691735198,479000,4000,0,0
1534430852694500286,483000,4000,0,0
1534430856694841608,487000,4000,0,0
1534430860696973871,491000,4000,0,0
1534430864698297638,495000,4000,0,0
1534430868699591159,499000,4000,0,0
1534430872701234666,503000,4000,0,0
