rosbagTimestamp,error,position_0,position_1,position_2
1534431138683570460,"""ok""",
1534431138691089125,"""ok""",
1534431138703450498,"""X:500.00 Y:140.00 Z:200.00 E:0.00 Count X:15751 Y:4410 Z:80001""",500.0,140.0,200.0
1534431138705207930,"""ok""",
1534431138712276628,"""ok""",
1534431139268685682,"""ok""",
1534431139281812173,"""ok""",
1534431141287759442,"""echo:busy: processing""",
1534431141768956332,"""X:500.00 Y:140.00 Z:0.00 E:0.00 Count X:15751 Y:4410 Z:1""",500.0,140.0,0.0
1534431141770980265,"""ok""",
1534431141778953629,"""ok""",
1534431143787678827,"""echo:busy: processing""",
1534431144786337628,"""ok""",
1534431144797896146,"""ok""",
1534431146806545388,"""echo:busy: processing""",
1534431147286529258,"""X:500.00 Y:140.00 Z:200.00 E:0.00 Count X:15751 Y:4410 Z:80001""",500.0,140.0,200.0
1534431147288755639,"""ok""",
1534431147297201977,"""ok""",
1534431149305161475,"""echo:busy: processing""",
1534431151303775781,"""echo:busy: processing""",
1534431151307448429,"""ok""",
1534431151316419539,"""ok""",
1534431151323437380,"""ok""",
1534431152331666142,"""ok""",
1534431152344989962,"""X:500.00 Y:140.00 Z:200.00 E:0.00 Count X:15751 Y:4410 Z:80001""",500.0,140.0,200.0
1534431152347081530,"""ok""",
1534431152355486809,"""ok""",
1534431152368191822,"""X:500.00 Y:140.00 Z:200.00 E:0.00 Count X:15751 Y:4410 Z:80001""",500.0,140.0,200.0
1534431152369850857,"""ok""",
1534431152375765579,"""ok""",
1534431152934086714,"""ok""",
1534431152946459128,"""ok""",
1534431154962015216,"""echo:busy: processing""",
1534431155433788250,"""X:500.00 Y:140.00 Z:0.00 E:0.00 Count X:15751 Y:4410 Z:1""",500.0,140.0,0.0
1534431155436056629,"""ok""",
1534431155454379369,"""ok""",
1534431157452476381,"""echo:busy: processing""",
1534431158452127181,"""ok""",
1534431158463489684,"""ok""",
1534431160471174488,"""echo:busy: processing""",
1534431160954812583,"""X:500.00 Y:140.00 Z:200.00 E:0.00 Count X:15751 Y:4410 Z:80001""",500.0,140.0,200.0
1534431160956962607,"""ok""",
1534431160966533676,"""ok""",
1534431162974116065,"""echo:busy: processing""",
1534431164977679082,"""echo:busy: processing""",
1534431164979186074,"""ok""",
1534431164988424277,"""ok""",
1534431164996366425,"""ok""",
1534431166003659339,"""ok""",
1534431166016634550,"""X:500.00 Y:140.00 Z:200.00 E:0.00 Count X:15751 Y:4410 Z:80001""",500.0,140.0,200.0
1534431166018341869,"""ok""",
1534431166028221070,"""ok""",
1534431166041415083,"""X:500.00 Y:140.00 Z:200.00 E:0.00 Count X:15751 Y:4410 Z:80001""",500.0,140.0,200.0
1534431166044018296,"""ok""",
1534431166049930511,"""ok""",
1534431166606865437,"""ok""",
1534431166618893630,"""ok""",
1534431168626663002,"""echo:busy: processing""",
1534431169110157380,"""X:500.00 Y:140.00 Z:0.00 E:0.00 Count X:15751 Y:4410 Z:1""",500.0,140.0,0.0
1534431169112297300,"""ok""",
1534431169121439884,"""ok""",
1534431171133379604,"""echo:busy: processing""",
1534431172129531750,"""ok""",
1534431172140994396,"""ok""",
1534431174148308192,"""echo:busy: processing""",
1534431174631837606,"""X:500.00 Y:140.00 Z:200.00 E:0.00 Count X:15751 Y:4410 Z:80001""",500.0,140.0,200.0
1534431174634319875,"""ok""",
1534431174642856505,"""ok""",
1534431176657852030,"""echo:busy: processing""",
1534431178653622027,"""ok""",
1534431178661362725,"""ok""",
1534431178669927441,"""ok""",
1534431179677924314,"""ok""",
1534431179690754434,"""X:500.00 Y:140.00 Z:200.00 E:0.00 Count X:15751 Y:4410 Z:80001""",500.0,140.0,200.0
1534431179692909085,"""ok""",
1534431179701863174,"""ok""",
1534431179715484711,"""X:500.00 Y:140.00 Z:200.00 E:0.00 Count X:15751 Y:4410 Z:80001""",500.0,140.0,200.0
1534431179717598647,"""ok""",
1534431179726083988,"""ok""",
1534431180285296158,"""ok""",
1534431180295723053,"""ok""",
1534431182303681814,"""echo:busy: processing""",
1534431182787260297,"""X:500.00 Y:140.00 Z:0.00 E:0.00 Count X:15751 Y:4410 Z:1""",500.0,140.0,0.0
1534431182789726913,"""ok""",
1534431182798860495,"""ok""",
1534431184806539709,"""echo:busy: processing""",
1534431185805478108,"""ok""",
1534431185816687179,"""ok""",
1534431187824761022,"""echo:busy: processing""",
1534431188308895290,"""X:500.00 Y:140.00 Z:200.00 E:0.00 Count X:15751 Y:4410 Z:80001""",500.0,140.0,200.0
1534431188311187461,"""ok""",
1534431188320338481,"""ok""",
1534431190331889354,"""echo:busy: processing""",
1534431192326182200,"""ok""",
1534431192334157569,"""ok""",
1534431192342304052,"""ok""",
1534431192350313939,"""ok""",
1534431192358593939,"""ok""",
1534431192366789167,"""ok""",
