rosbagTimestamp,milliseconds,rate,data_0,data_1
1534428878105117194,1000,1000,0,0
1534428879105516586,2000,1000,0,0
1534428880105405357,3000,1000,0,0
1534428881106638881,4000,1000,0,0
1534428882106171672,5000,1000,0,0
1534428883106971515,6000,1000,0,0
1534428884108370353,7000,1000,0,0
1534428885107720834,8000,1000,0,0
1534428886108307885,9000,1000,0,0
1534428887108159850,10000,1000,0,0
1534428888109205612,11000,1000,0,0
1534428889109448227,12000,1000,0,0
1534428890110216856,13000,1000,0,0
1534428891109664499,14000,1000,0,0
1534428892110854550,15000,1000,0,0
1534428893110632195,16000,1000,0,0
1534428894111318309,17000,1000,0,0
1534428895112482704,18000,1000,0,0
1534428896112303338,19000,1000,0,0
1534428897112997337,20000,1000,0,0
1534428898112967309,21000,1000,0,0
1534428899113690238,22000,1000,0,0
1534428900113092031,23000,1000,0,0
1534428901114196081,24000,1000,0,0
1534428902115394615,25000,1000,0,0
1534428903115185423,26000,1000,0,0
1534428904117444956,27000,1000,0,0
1534428905115779668,28000,1000,0,0
1534428906116403213,29000,1000,0,0
1534428907116335541,30000,1000,0,0
1534428908117118767,31000,1000,0,0
1534428909118497086,32000,1000,0,0
1534428910117874382,33000,1000,0,0
1534428911119035347,34000,1000,0,0
1534428912118749541,35000,1000,0,0
1534428913119482566,36000,1000,0,0
1534428914119452748,37000,1000,0,0
1534428915120285428,38000,1000,0,0
1534428916119996080,39000,1000,0,0
1534428917121062286,40000,1000,0,0
1534428918121792475,41000,1000,0,0
1534428919121325836,42000,1000,0,0
1534428920122716343,43000,1000,0,0
1534428921122389886,44000,1000,0,0
1534428922123146613,45000,1000,0,0
1534428923123248573,46000,1000,0,0
1534428924123786332,47000,1000,0,0
1534428925123624122,48000,1000,0,0
1534428926124737203,49000,1000,0,0
1534428927125429831,50000,1000,0,0
1534428928125250679,51000,1000,0,0
1534428929126243890,52000,1000,0,0
1534428930125829786,53000,1000,0,0
1534428931128024467,54000,1000,0,0
1534428932126842824,55000,1000,0,0
1534428933127661889,56000,1000,0,0
1534428934128266662,57000,1000,0,0
1534428935128260992,58000,1000,0,0
1534428936129159351,59000,1000,0,0
1534428937128830547,60000,1000,0,0
1534428938129879679,61000,1000,0,0
1534428939129568246,62000,1000,0,0
1534428940130400294,63000,1000,0,0
1534428941130589619,64000,1000,0,0
1534428942131197764,65000,1000,0,0
1534428943132222789,66000,1000,0,0
1534428944131890688,67000,1000,0,0
1534428945132790389,68000,1000,0,0
1534428946133871522,69000,1000,0,0
1534428947133650849,70000,1000,0,0
1534428948133269429,71000,1000,0,0
1534428949134151964,72000,1000,0,0
1534428950135100579,73000,1000,0,0
1534428951134915699,74000,1000,0,0
1534428952135656110,75000,1000,0,0
1534428953135713843,76000,1000,0,0
1534428954136311286,77000,1000,0,0
1534428955135933578,78000,1000,0,0
