rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics_0
1534428875407016636,,1,,1534428875,398029039,'',2,"""/record""","""Recording to /media/woodlab/DATAPART1/watertank-gantry/ROS/catkin_ws/data/output_2018-08-16-10-14-35.bag.""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""Recorder",395,/rosout
1534428875407561696,,2,,1534428875,402231856,'',2,"""/record""","""Subscribing to /rosout_agg""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,/rosout
1534428876409016898,,3,,1534428876,408892957,'',2,"""/record""","""Subscribing to /object_return""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,/rosout
1534428878104774723,,1,,1534428878,104157924,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428879105577163,,2,,1534428879,104742050,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428880104852276,,3,,1534428880,104458093,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428881106077237,,4,,1534428881,105668067,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428882105684615,,5,,1534428882,105290889,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428883106583631,,6,,1534428883,106028079,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428884106624858,,7,,1534428884,106085062,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428885107358700,,8,,1534428885,106862068,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428886108432875,,9,,1534428886,107573986,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428887108108030,,10,,1534428887,107501029,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428887333798220,,1,,1534428887,332871913,'',2,"""/gantry_sendServer""","""message","""sendGcodeSerial.py""","""publishSentData""",84,/to_gantry,/rosout
1534428887408769600,,4,,1534428887,408630219,'',2,"""/record""","""Subscribing to /to_gantry""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,/rosout
1534428888108931513,,11,,1534428888,108409881,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428889108993003,,12,,1534428889,108494997,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428889343822361,,2,,1534428889,343502998,'',2,"""/gantry_sendServer""","""error","""sendGcodeSerial.py""","""publishRecievedData""",107,/to_gantry,/rosout,/from_gantry
1534428889408934141,,5,,1534428889,408793354,'',2,"""/record""","""Subscribing to /from_gantry""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,/rosout
1534428890109595804,,13,,1534428890,109235048,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428891109220888,,14,,1534428891,108833074,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428891340578027,,3,,1534428891,339904069,'',2,"""/gantry_sendServer""","""error","""sendGcodeSerial.py""","""publishRecievedData""",107,/to_gantry,/rosout,/from_gantry
1534428892110825315,,15,,1534428892,109983921,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428893110179464,,16,,1534428893,109785079,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428893338450291,,4,,1534428893,338205099,'',2,"""/gantry_sendServer""","""error","""sendGcodeSerial.py""","""publishRecievedData""",107,/to_gantry,/rosout,/from_gantry
1534428894110854426,,17,,1534428894,110470056,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428895112247832,,18,,1534428895,111613988,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428895342269850,,5,,1534428895,341434955,'',2,"""/gantry_sendServer""","""error","""sendGcodeSerial.py""","""publishRecievedData""",107,/to_gantry,/rosout,/from_gantry
1534428896111698043,,19,,1534428896,111351013,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428897112411341,,20,,1534428897,112044095,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428897341452465,,6,,1534428897,340603113,'',2,"""/gantry_sendServer""","""error","""sendGcodeSerial.py""","""publishRecievedData""",107,/to_gantry,/rosout,/from_gantry
1534428898112637102,,21,,1534428898,112116098,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428899113363029,,22,,1534428899,112852096,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
1534428899340771617,,7,,1534428899,339711904,'',2,"""/gantry_sendServer""","""error","""sendGcodeSerial.py""","""publishRecievedData""",107,/to_gantry,/rosout,/from_gantry
1534428900112899115,,23,,1534428900,112390995,'',2,"""/readStuff""","""milliseconds","""serial_data_client.py""","""talker""",33,/object_return,/rosout
